Country,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SH.DTH.0509,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DYN.0509,SH.DYN.1014,SH.DYN.1519,SH.DYN.2024,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS
Burundi,,1.012500048,1.03429997,1.1144800190000002,0.607990026,2.0,38.19347,15.36692047,15.663620000000002,15.07427025,7.0,67.89185333,58.17401123,63.02138901,6.0,2170884.0,50.11885,42.52383,121.4215622,122.178421,120.6704865,127.02607,129.07338,128.05538,92.8047,16.3948,17.724510000000002,17.05807,2.041379929,47.56914139,38.54766846,42.9858017,24.33103,27.11869,25.72155,51051.0,50.4025383,93.4166,114262.0,44430.0,4.9892301560000005,69832.0,7.781839848,6.390890121,13.0,35.98099136,29.16990089,32.57291031,6.0,674855.0,52.69295,606024.0,53.25895,35.69109,26.59842,68831.0,47.70961,48.46501923,51.08967972,45.84183884,27.52277,31.01462,24.03288,7.19754982,,,,25372.0,6490.0,25.57938004,4.057660103,3.07171011,5.052259922,,,,19.91987038,5.078649998,4247.0,2667.0,2031.0,1852.0,12.3,9.5,8.9,9.0,51.89353872,4822373.0,1.0,1.919999957,1.4500000480000002,45.50168075,52.25137879
Cabo Verde,10.0,0.934210002,1.006999969,1.103109956,1.32814002,3.0,16.329620000000002,73.23269653,73.51728821,72.95632172,6.0,89.33860016,85.26541901,87.29020691,6.0,64127.0,47.80358,21.07361,104.0279694,100.4554977,107.5301971,98.32815,99.45117,98.8972,93.42191,7.86821,12.32672,10.19539,1.3644800190000002,,,,5.51184,9.80214,7.74608,3043.0,71.11402893,93.52897,3973.0,2238.0,7.333859921,1735.0,5.573760032999999,6.44506979,12.0,76.83860016,59.63642883,68.22319794,6.0,53355.0,52.22378,52143.0,52.52862,15.68506,15.420520000000002,1212.0,39.10891,88.15511322,92.49768066,83.85196686,70.42826,74.47218000000001,66.42105,7.444479942,,,,3460.0,1627.0,47.02312088,23.61651039,28.34651947,19.04476929,,,,,,10.0,11.0,23.0,38.0,0.9,1.1,2.4,3.9,43.97647895,233493.0,11.55000019,12.65999985,12.17000008,28.77776695,66.6129059
Cambodia,,0.976000011,,,0.896889985,6.0,33.3434,23.82233047,24.31475067,23.35042,6.0,90.25720215,85.82245636,87.9994812,6.0,2147313.0,48.1383,41.7035,107.4148483,106.07807920000002,108.686142,102.31129,106.72996,104.57965,90.26554,12.92073,14.79949,13.89509,5.2064099310000005,83.66874695,76.1522522,79.76049805,4.97518,7.68737,6.3817,51490.0,57.45775986,90.69029,186109.0,91265.0,9.365779877,94844.0,9.256400108,9.309709549,12.0,62.02941895,54.80598068,58.40909958,6.0,,,955656.0,51.7974,21.87195,,,,,,,,,,,,,,,,,13.68776035,12.9327898,14.41959953,,,,8.838979721,2.162859917,1096.0,577.0,1068.0,1525.0,3.2,1.8,3.6,4.7,48.95809937,9185185.0,0.1700000019999999,0.1000000009999999,0.129999995,31.20141476,64.22990522
Cameroon,6.0,0.901619971,,,0.886219978,2.0,20.26212,34.46434021,34.79948044,34.13541031,6.0,61.21667862,67.67904663,64.47068024,6.0,4201988.0,47.0142,44.83412,103.4021225,98.01210022,108.7064972,110.47883,122.94506,116.76714,,,,,,64.24127197,63.66992188,63.93796158,11.92181,12.53458,12.24649,93723.0,52.89416885,,,,,,,,12.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,14.26727009,13.40384007,15.12481022,,,,16.88315964,3.131200075,10665.0,5421.0,6717.0,8338.0,14.7,8.6,12.4,17.9,47.07102132,11023211.0,3.829999924,2.940000057,3.359999895,42.63157984,54.6395428
Canada,10.0,0.995660007,1.003329992,1.010710001,1.253329992,3.0,,,,,6.0,,,,6.0,2407006.0,,,101.501091,101.2753983,101.7166214,,,,,,,,6.244440078999999,,,,,,,,,,5025.0,,,,,0.211909994,12.0,,,,6.0,2654199.0,,,,,,,,114.1235123,114.7476807,113.53153229999998,,,,8.352459908,,,,,,,70.11302185,80.57795715,60.16537094,,,,,,152.0,215.0,701.0,1404.0,0.4,0.6,1.7,2.9,47.36335857,20349923.0,5.489999771,6.139999866,5.829999924,15.87025087,66.89774245
Caribbean small states,6.5,0.97172,1.01018,1.06246,,4.0,12.20815,77.54199219,78.74936676,76.38604736,,90.86843109,90.7701416,90.81897736,6.5,708839.4,48.45279,18.92805,98.59672,97.15853,99.98649,89.95774,89.91790999999999,89.93744000000001,87.89515,,,,29.89782,92.22796,89.06313,90.61034,3.60722,5.7005,4.68625,36847.98,86.34583,88.92917,64658.0,31161.0,8.819749832000001,33497.0,9.161660194,8.993639946,,83.05503082,76.35115051,79.64044952,5.0,545549.7,50.60897,513048.1,50.95367,,15.1103,33766.31,45.37166,86.27733,88.93547,83.70738,74.27317,76.90783,71.72989,15.37449,,,,38283.57,25388.36,66.31659,,,,34.16447,37.74991,19.59513,18.58399963,5.41478014,152.0,200.0,491.0,869.0,1.325199589,1.687693003,4.050411939,6.907383503999999,44.02268481,3387816.0,10.69412684,7.21099776,8.743072502,23.71292234,67.49041787
Central African Republic,10.0,,,,,3.0,,,,,6.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.0,681.0,1489.0,2391.0,9.3,5.3,13.1,26.4,45.65404112,1874454.0,4.260000229,3.960000038,4.090000153,44.29432055,52.87990574
Central Europe and the Baltics,10.0,0.99367,0.99248,0.99159,1.289109945,5.0,12.61647,88.94277191,88.47718048,89.38407898,,93.07508087,93.07784271,93.07649994,5.0,5292234.0,48.62807,12.66168,95.26243,94.95187,95.55709,76.17215999999999,78.05761,77.14012,,,,,5.13356,98.12112,97.97215,98.044,0.75572,1.25568,1.01256,480379.3,87.38646,91.02484,262743.0,123162.0,4.553619862,139581.0,4.896339893,4.72947979,,88.78211975,88.28536987,88.52748108,8.0,7291400.0,48.44025,5281663.0,51.04852,9.60642,10.02635,2019124.0,41.61747,101.7527,101.3119,102.1716,89.73885,90.06636,89.42803,9.00954,,,,699338.8,499697.5,71.45285,62.53382874,73.42337036,52.19580841,,,,,,582.0,720.0,1783.0,2946.0,0.529616237,0.699627818,1.821344262,2.6108831080000003,45.00479036,49722737.0,4.294317669,4.328369513999999,4.314953094,15.13559643,66.40392481
Chad,10.0,0.777830005,0.727490008,0.523989975,,3.0,,1.085680008,1.05467999,1.11638999,6.0,33.66102982,47.43593979,40.56021881,6.0,2419675.0,,,89.73428345,78.49581146,100.916832,,,,,,,,,,,,,,,43805.0,18.62573051,,693571.0,466355.0,34.67628098,227216.0,16.81080055,25.72126007,12.0,9.892620087,20.16757011,15.03995037,7.0,511841.0,,,,,,,,20.21027946,13.88788986,26.50427055,,,,22.89891052,,,,20138.0,1648.0,8.183529854,,,,,,,,,7639.0,4502.0,5613.0,5720.0,15.7,10.8,16.0,19.8,45.53572123,5789121.0,1.7899999619999998,1.980000019,1.889999986,47.12629999,50.39318107
Chile,12.0,0.971270025,0.985650003,1.0004199740000002,1.140709996,6.0,,82.15422821,81.3983078,82.88339233,6.0,95.7505722,96.71675873,96.24210358,6.0,1540085.0,,,102.1792221,100.6640015,103.6420288,,,,,,,,62.59616089,,,,,,,88050.92969,80.8266983,,19351.0,11999.0,1.620700002,7352.0,0.958689988,1.283869982,12.0,93.51183319,93.47154236,93.49134064,6.0,1522145.0,,,,,,,,102.3675537,102.3893814,102.3464432,,,,61.91255951,,,,84497.0,50715.0,60.01987839,90.8963089,97.89286041,84.11824036,,,,,,161.0,198.0,551.0,863.0,0.6,0.8,2.1,3.0,42.22438839,9391885.0,7.980000018999999,6.690000057000001,7.230000018999999,19.75390247,68.71629587
China,9.0,1.0113500359999998,1.014310002,,1.178110003,3.0,17.37685,88.09340668,88.37187195,87.85069275,6.0,,,,6.0,101872976.0,46.47985,16.42675,100.2227478,100.8315811,99.69995117,103.25703,101.9667,102.56437,,,,,7.992030144,,,,0.00571,0.00905,0.0075,6201651.0,67.39675140000001,,,,,,,,12.0,,,,6.0,84321856.0,46.94867,68394471.0,47.92337,12.32505,13.25879,15927388.0,42.7632,,,,,,,12.82316017,,,,6359696.0,3479543.0,54.71240997,50.60443878,55.88122177,45.92842102,,,,,,16630.0,16403.0,23259.0,45199.0,1.0,1.0,1.4,2.5,43.71882839,785986127.0,3.720000029,4.75,4.3000001910000005,17.87700275,71.20211371
Colombia,12.0,0.97025001,1.013210058,1.053259969,1.144559979,6.0,,78.49890137,78.5421524,78.45760345,6.0,106.3833237,107.1388626,106.7693863,5.0,4303833.0,48.13149,23.3015,114.5266571,112.75911709999998,116.2171631,111.00966,115.97085,113.5463,92.91999,13.41092,16.83619,15.18755,19.69511986,,,,1.62283,1.95474,1.79565,,,97.75807,85793.0,32871.0,1.789289951,52922.0,2.755160093,2.282979965,11.0,80.15634155,71.48059845,75.7246933,6.0,4821029.0,50.22036,4458296.0,49.97378,26.3074,25.91073,362733.0,53.25101,97.50623322,100.0914536,95.03002167,77.47078,80.16872,74.88658000000001,20.4407196,,,,,,,55.32749176,59.72433853,51.09033966,32.70964,38.05749,23.31461,15.98262024,4.457489967,823.0,1115.0,3881.0,6010.0,1.1,1.4,4.5,6.8,42.9411801,26235986.0,11.78999996,7.090000152999999,9.109999657,23.07789598,68.444057
Comoros,6.0,0.998350024,1.022899985,1.066480041,,3.0,28.4176,21.80785942,22.1623497,21.46626091,6.0,,,,6.0,124240.0,49.0784,28.05781,99.50662994,99.42279053,99.58757782,101.96963,95.13538,98.49074,80.75383000000001,17.86634,17.87086,17.86864,18.5898304,,,,14.4633,17.38876,15.95299,4428.0,29.49412918,81.73895999999999,22667.0,11145.0,18.17247963,11522.0,18.13717079,18.1545105,12.0,,,,7.0,73695.0,50.78499,73695.0,50.78499,9.16486,8.30834,0.0,,59.46886063,61.41450882,57.58628845,50.35748,51.66721,49.09022,55.01187134,,,,8870.0,1482.0,16.70800018,,,,,,,,,134.0,51.0,59.0,90.0,6.1,2.6,3.4,5.8,37.46815196,228821.0,10.05000019,6.420000076,7.78000021,39.53842383,57.45456686
"Congo, Dem. Rep.",6.0,0.938539982,,,,3.0,,5.675370216,5.818600178,5.534759997999999,6.0,,,,6.0,16807014.0,,,118.45961,114.6757278,122.185173,,,,,,,,14.80910969,,,,,,,544039.0,28.61430931,,,,,,,,12.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33101.0,21620.0,32684.0,28960.0,12.7,10.0,18.5,19.9,48.41412161,28829039.0,3.299999952,5.010000229,4.179999828,46.16564209,50.81651729
"Congo, Rep.",10.0,,,,,3.0,,,,,6.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.56768036,3.511049986,638.0,509.0,596.0,999.0,4.3,4.0,5.6,11.2,49.02714027,2124150.0,10.22000027,9.119999886,9.659999847,41.76350246,55.554778000000006
Costa Rica,13.0,1.008880019,1.041360021,1.075309992,1.176669955,6.0,12.90757,97.93650818,98.26506805,97.62297821,6.0,99.1428299,98.07055664,98.59436798,6.0,483770.0,49.0634,12.2047,113.2942886,113.8066406,112.8051071,111.06149,110.49209,110.77016,97.33255,14.07768,13.28971,13.67632,8.910019875,,,,1.91726,2.68352,2.31226,39638.0,78.96968079,97.40817,509.0,,,,,0.1192300019999999,12.0,74.60845947,66.18058014,70.29882813,5.0,476668.0,50.68349,368090.0,50.21978,12.52299,12.42779,108578.0,52.25552,132.816925,137.749527,128.10261540000002,82.44799,84.30884,80.66948000000001,8.749699592999999,,,,38355.0,22853.0,59.58283997,55.20793915,60.6801796,49.95981979,28.67492,28.6795,23.13634,26.08666992,6.978569984,52.0,71.0,225.0,411.0,0.7,1.0,3.0,5.0,38.89072428,2445740.0,12.18999958,8.0,9.630000114,21.32474411,69.12540822
Cote d'Ivoire,10.0,0.926440001,0.867879987,0.7684599759999999,,3.0,21.09542,8.204299927000001,8.278980255,8.130439758,6.0,69.34935759999999,79.83106232,74.60257721,6.0,3900222.0,47.90466,41.8223,99.79975128,95.97512054,103.5959702,98.95423,105.20904,102.0966,90.32837,8.28623,7.69654,7.979030000000001,14.48050976,,,,,,,93257.0,30.24544907,93.69235,241575.0,197509.0,10.14562035,44066.0,2.246769905,6.181469917,12.0,42.51126862,56.20983124,49.35760117,7.0,2040520.0,43.47853,1923876.0,43.18875,,27.28114,116644.0,48.25795,51.02666092,44.34893036,57.71112061,40.19814,35.05883,45.34263,50.62445068,,,,74796.0,11737.0,15.69202042,,,,47.29398,35.11957,14.02777,18.33167076,3.256030083,10159.0,6643.0,6383.0,7575.0,14.6,10.7,11.4,15.7,40.78084273,7822369.0,3.809999943,2.809999943,3.210000038,41.93697214,55.20408485
Croatia,8.0,1.003100038,1.032649994,1.047369957,1.281749964,6.0,,69.22509766,68.91187286,69.51949309999999,7.0,95.40106201,94.3216629,94.84780884,4.0,161740.0,,,94.60305023,94.75321198,94.46041107,,,,,,,,0.618889987,,,,,,,12444.0,93.37030029,,2766.0,,,,,1.617799997,11.0,98.3306427,99.01181793,98.68070221,8.0,332460.0,,,,,,,,100.0797729,102.4584808,97.82417297,,,,2.289000034,,,,52322.0,36730.0,70.19992065,67.65422821,79.05442047,56.78118134,,,,,,22.0,23.0,59.0,99.0,0.5,0.6,1.4,2.0,46.45368516,1794835.0,9.340000153,7.639999866,8.430000305,14.51194001,65.04262698
Cuba,9.0,0.95668,0.986819983,1.015740037,1.3671,6.0,,98.23532104,98.4197998,98.06067657,6.0,84.53137207,83.75354004,84.13140869,6.0,741269.0,47.48721,9.16029,101.9045486,99.58638763,104.095787,104.85011,104.25207,104.54278,97.73994,1.68121,3.44345,2.60661,,97.15512085,96.31095123,96.72579193,0.2578,0.62603,0.44902,80922.0,80.69992828,97.84442,15680.0,8272.0,2.340229988,7408.0,1.981040001,2.155580044,12.0,95.08379364,91.08042145,93.02477264,6.0,795057.0,48.99787,587467.0,52.03969,9.71138,9.63133,207590.0,40.38971,101.1372375,101.9491577,100.3693008,84.18162,86.70000999999999,81.79969,,,,,82549.0,52354.0,63.42173004,41.37902069,51.00783920000001,32.28290176,,,,,,113.0,132.0,269.0,388.0,0.9,1.1,2.0,2.7,38.96208562,5103446.0,1.820000052,1.620000005,1.7000000480000002,16.21123899,68.60254959
Cyprus,10.0,0.991150022,0.983219981,0.975019991,1.076470017,6.0,,85.34308624,84.01747894,86.59751892,6.0,101.8606796,101.8915482,101.8767014,6.0,57079.0,,,99.79544067,99.34233856,100.2293091,,,,,,,,9.537659645,,,,,,,4786.0,83.95320129,,329.0,229.0,0.8184999820000001,100.0,0.34224999,0.5752199889999999,12.0,96.97663879,94.70050812,95.82250977,6.0,54966.0,,,,,,,,100.2535172,98.96697235,101.50257109999998,,,,18.64607048,,,,6817.0,4547.0,66.70088959,81.33708191,84.49549866,78.03450012,,,,,,7.0,6.0,18.0,36.0,0.5,0.4,1.2,1.9,46.01682509,625732.0,8.760000229,8.039999962000001,8.369999886,16.78784796,69.49309027
Czech Republic,9.0,1.00601995,1.004989982,1.004209995,1.282189965,3.0,,109.65850829999998,108.0999603,111.1336975,6.0,98.78359222,98.30895233,98.54006195,5.0,583522.0,,,100.5089874,100.8188629,100.2151184,,,,,,,,2.642570019,,,,,,,,,,2386.0,,,,,0.4109300079999999,11.0,94.73177338,93.13276672,93.9118576,8.0,787114.0,,,,,,,,102.2979279,102.5184402,102.088501,,,,10.0641098,,,,,,,63.76876831,74.52980804,53.49834824,,,,,,46.0,51.0,140.0,248.0,0.4,0.5,1.5,2.4,44.70131083,5452943.0,2.799999952,1.7899999619999998,2.24000001,15.58660552,64.99251759
Denmark,10.0,0.998889983,0.999819994,0.999409974,1.272930026,6.0,,99.64254761,98.52359009,100.7026291,6.0,100.6042023,101.4494934,101.0366287,7.0,468362.0,,,100.5239105,100.4665298,100.5781174,,,,,,,,17.06842041,,,,,,,46511.0,68.38381958,,2813.0,519.0,0.229289994,2294.0,0.957549989,0.60374999,13.0,98.66760254,100.0614929,99.37863922,6.0,531247.0,,,,,,,,129.7455444,129.7060547,129.7832184,,,,15.63885975,,,,53930.0,30441.0,56.44538879,81.18334961,94.43289185,68.65917206,,,,,,18.0,21.0,67.0,108.0,0.3,0.3,1.0,1.4,47.16403037,2982472.0,5.349999905,4.940000057,5.130000114,16.45826256,63.7287848
Djibouti,10.0,1.023509979,1.014449954,1.002609968,,2.0,14.40476,7.826039791,7.693130016,7.952199936,6.0,69.90912628,63.55627823,66.38028717,5.0,62979.0,46.14395,29.37453,70.29769135,71.18781281,69.55255890000001,65.19103,68.53381999999999,66.95788,61.80335,11.87158,11.93467,11.90556,13.50133038,,,,8.39269,8.90088,8.66638,2144.0,28.68470001,62.10696,33948.0,15144.0,37.09672928,18804.0,38.55965042,37.8930397,11.0,49.64237976,48.88134003,49.22512054,7.0,65144.0,45.12158,60125.0,45.2657,28.81312,25.41709,5019.0,43.3951,51.45777893,51.53134918,51.39744186,,,,10.52591038,,,,2563.0,679.0,26.49238968,,,,,,,13.99153042,3.627739906,151.0,92.0,201.0,302.0,8.0,5.2,11.0,16.8,39.75250992,406885.0,11.19999981,10.96000004,11.06000042,29.57411596,65.89830466
Dominica,12.0,,,,,5.0,,,,,5.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,6.0,1.5,1.8,2.0,4.2,,,,,,,
Dominican Republic,15.0,0.941760004,0.997340024,1.078209996,,3.0,18.88925,51.43738174,51.96490097,50.92715073,6.0,92.58232117,93.65538025,93.1275177,6.0,1226414.0,47.57349,18.92322,105.6986465,102.4711227,108.8085403,105.32338,106.5707,105.9601,92.71356,8.268089999999999,13.685020000000002,11.10799,23.25308037,94.2157135,89.88017273,91.96153259,2.8143,6.28867,4.63579,64810.0,81.20659637,93.86741,65825.0,31319.0,5.500559807,34506.0,5.839419842000001,5.673140049,12.0,91.12242126,87.6166687,89.34665679999999,6.0,924714.0,51.26201,849143.0,50.34947,,,75571.0,61.51566,79.93869019,82.98589325,76.96617889,70.60614,74.54666999999999,66.76219,17.89948082,,,,,,,,,,,,,,,288.0,286.0,842.0,1631.0,1.5,1.5,4.4,8.6,39.93860545,5029437.0,9.100000381,3.710000038,5.860000134,27.9771295,64.94005302
Early-demographic dividend,10.0,0.98814,1.00254,1.0173299999999998,1.07641995,4.0,19.77285,55.20582962,55.30059052,55.11716843,,92.12090302,91.11103821,91.59841919,6.0,342000000.0,49.19061,27.85282,102.0029,101.375,102.5913,104.9265,107.8007,106.4104,90.30715,,,,26.73843,82.80901999999999,80.50178000000001,81.60389,1.88826,2.6616,2.28119,12800000.0,61.79425,92.98126,19600000.0,10300000.0,6.32738018,9322248.0,5.38781023,5.842400074,,80.77275085,76.91281128,78.77166748,6.0,300000000.0,48.43648,274000000.0,48.99421,21.32611,21.40841,23700000.0,41.96907,74.88906999999999,75.55703000000001,74.27,64.08017,64.31126,63.86612,37.4163,,,,13900000.0,6823947.0,49.21323,31.19182014,32.475109100000005,29.99331093,,,,,,194544.0,172579.0,291194.0,366158.0,3.081688897,2.796120133,4.853312767,6.297333234,29.76927651,1280515154.0,6.441370565,5.295945914,5.635792173,28.89603516,65.28588243
East Asia & Pacific,9.0,0.99782,1.0072,1.01926,1.149829984,5.0,17.2514,82.84458923,82.39141083,83.25131989,,98.25359344,98.0464325,98.14378357,6.0,185000000.0,47.19927,17.53589,102.0743,101.9566,102.1798,103.4874,103.6515,103.5738,,,,,10.26678,95.6006,94.55107,95.04744,0.47228,0.8565200000000001,0.67516,10600000.0,69.54305,95.98306,5953998.0,3205055.0,3.738159895,2748943.0,2.8723800180000003,3.281500101,,87.18390656,84.66316986,85.86057281,6.0,156000000.0,47.87706,131000000.0,48.87815,14.36246,14.75977,24900000.0,42.61983,85.22569,86.08038,84.4536,78.90534,81.24246,76.79316,19.20727,,,,10600000.0,5850698.0,55.4338,46.59321976,50.54644012,42.97283936,,,,,,47491.0,41282.0,75584.0,111371.0,1.5,1.4,2.5,3.5,43.34247052,1266543881.0,3.318456284,4.053449239,3.735401037,19.76763516,69.48816626
East Asia & Pacific (IDA & IBRD countries),9.0,0.99773,1.00776,1.0211,1.176020026,4.5,17.16188,82.18557739,81.64698029,82.66696167,,98.20076752,97.93312836,98.05928802,6.0,171000000.0,47.07546,17.64651,102.4399,102.3168,102.5496,103.6033,103.7721,103.6924,,,,,10.57224,95.62079,94.51659,95.03764,0.47546,0.85929,0.6786,9765202.0,69.33088000000001,95.99521,5458759.0,2959910.0,3.758039951,2498850.0,2.82901001,3.266930103,,86.76455688,84.34262848,85.48919678,6.0,141000000.0,47.85229,118000000.0,48.84209,14.41867,14.95966,22900000.0,42.74538,83.57145,84.49041,82.74461,78.31161,80.78035,76.08895,18.64943,,,,9347641.0,5334731.0,57.07034,44.13985825,48.61207962,40.05514145,,,,9.594004631,3.165154934,46019.0,39768.0,71673.0,105212.0,1.634165306,1.429166425,2.58970848,3.611316002,43.20791306,1116860945.0,3.364546824,4.149792824,3.811082119,20.50249951,69.99925292
East Asia & Pacific (excluding high income),9.0,0.99765,1.0077,1.02099,1.170179963,4.0,17.180139999999998,82.08859253,81.54524994,82.57447815,,98.18225098,97.93200684,98.05004883,6.0,173000000.0,47.09131,17.666610000000002,102.3083,102.1813,102.4217,103.4645,103.6585,103.5669,,,,,10.47992,95.61357,94.49242,95.0216,0.4711399999999999,0.85201,0.67266,9839311.0,69.42811,96.01509,5663798.0,3057517.0,3.84175992,2606280.0,2.92215991,3.3557898999999995,,86.80168915,84.35305786,85.51278687,6.0,143000000.0,47.87101,120000000.0,48.84732,14.45427,14.98305,22900000.0,42.74538,83.6866,84.60189,82.86236,78.46543,80.90978,76.26289,18.37657,,,,9471049.0,5383842.0,56.84525,43.90822983,48.19351959,39.9919281,,,,,,46733.0,40448.0,73249.0,107312.0,1.640709641,1.4351168930000002,2.610453053,3.634281751,43.26440773,1133332584.0,3.347072196,4.134479705,3.794352513,20.49881239,70.00494974
Ecuador,15.0,1.016420007,1.021919966,1.027590036,,3.0,19.32357,66.13674927,67.92336273,64.42738342,6.0,104.9208374,103.9667969,104.4336777,6.0,1932261.0,49.3201,24.26216,103.267952,104.1274338,102.4450378,106.59538,102.77287,104.64206,90.94167,2.71555,3.36915,3.04679,24.20076942,,,,0.39609,0.54294,0.47051,79640.92969,77.42903137,97.5804,24550.0,,,,,1.312070012,12.0,98.62011719,95.10318756,96.82608032,6.0,1891648.0,49.67034,1621831.0,50.62278,22.78288,20.62112,269817.0,43.94534,101.4356537,102.8441162,100.0829391,84.67039,86.0294,83.3652,25.97767067,,,,91733.54688,53308.44922,58.11227036,,,,,,,,,468.0,598.0,1222.0,2000.0,1.5,1.9,3.9,6.5,40.83004059,8364868.0,4.400000095,2.930000067,3.529999971,28.028592,64.81411827
"Egypt, Arab Rep.",12.0,1.003919959,0.996510029,0.986590028,,2.0,26.04459,28.70762062,28.64514923,28.76635933,6.0,101.6332397,99.79187012,100.6852112,6.0,12643289.0,48.59901,23.67945,106.2849274,106.4991074,106.0832214,102.41373,101.17963,101.77791,97.03257,2.12432,2.9511700000000003,2.54933,9.22012043,99.52294922,98.5209198,99.00930023,1.5049,2.68654,2.11227,533935.0,61.37731934,98.45783,77552.0,,,,,0.651929975,12.0,87.58245087,81.74198151,84.576828,6.0,9136789.0,48.222,7118450.0,50.25993,16.77056,15.16281,2018339.0,41.03443,87.91114044,87.30088043,88.48719788,82.77635,83.12510999999999,82.44713,7.789999962,,,,602579.0,287553.0,47.72037888,,,,,,,,,5098.0,3851.0,5928.0,6370.0,2.3,2.1,3.5,3.8,20.56123677,29275345.0,21.44000053,6.809999942999999,9.819999695,33.79872071,60.97149994
El Salvador,15.0,0.968299985,0.977670014,0.993430018,1.115739942,7.0,28.2117,66.69644165,67.49913788,65.92991638,7.0,85.81394958,87.3719635,86.60769653,6.0,662740.0,48.1231,26.89473,94.82711029,93.26776886,96.320961,95.21859,97.88521,96.58226,80.99537,11.29931,14.957720000000002,13.19718,13.28756046,,,,2.96937,4.53325,3.78063,24642.0,73.65879059,81.60033,95746.0,45491.0,13.30333042,50255.0,14.07936001,13.69966984,13.0,77.03872681,77.79589081,77.42192841,6.0,521576.0,49.35867,429923.0,49.30743,27.79614,27.55579,91653.0,49.59903,71.66178894,71.42326355,71.89581299,61.83091999999999,62.55455,61.12096,16.60046005,,,,18928.0,10353.0,54.69675064,29.37192917,31.14780045,27.54276085,46.16494,34.02135,9.17133,14.94499969,3.592420101,131.0,246.0,1430.0,1614.0,1.1,2.1,11.4,12.5,41.86202639,2757136.0,3.75,4.190000057,4.010000229,27.13208091,64.58082908
Equatorial Guinea,6.0,,,,,6.0,,,,,7.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,178.0,264.0,371.0,10.2,6.7,11.1,14.5,36.78044081,508610.0,8.180000305,7.929999828,8.029999733,37.11659887,60.42552379
